question,option_a,option_b,option_c,option_d,correct_answer,question_type,year,page
10. Which of the following is the basic characteristic of a living organism?,Ability to move,Ability to reproduce,Ability to eat,Ability to breathe,B,multiple_choice,2007,257
"11. During electrolysis, metals are deposited at the cathode because the cathode:",Supplies electrons,Withdraws electrons,Undergoes oxidation,None of these,A,multiple_choice,2007,257
12. A computer virus is actually a:,Software program,Insect,Micro-organism,None of these,A,multiple_choice,2007,258
13. The acid used in a car battery is:,Hydrochloric acid,Nitric acid,Sulphuric acid,Carbonic acid,C,multiple_choice,2007,258
"14. With a rise in temperature, the conductivity of metals will:",Decrease,Increase,Remain unchanged,None of these,A,multiple_choice,2007,258
15. Trachoma is a disease of the:,Brain,Larynx,Ear,Eye,D,multiple_choice,2007,259
16. What is the peritoneum?,A membrane,An organ,A muscle,A bone,A,multiple_choice,2007,259
17. The surface of a hard disk is logically divided into:,Firmware,SIMMs,Pie-shaped sectors,None of these,C,multiple_choice,2007,259
"18. Which of the following has no blood, but respires?",Cockroach,Earthworm,Fish,Hydra,D,multiple_choice,2007,260
19. Which of the following is known as the ‘graveyard of RBCs’?,Liver,Bone marrow,Spleen,Appendix,C,multiple_choice,2007,260
20. Stains of rust from iron on cloth can be removed by:,Hydrogen peroxide,Alcohol,Oxalic acid,None of these,C,multiple_choice,2007,261
21. All the following are invertebrates except:,Snail,Crab,Prawn,Fish,D,multiple_choice,2007,261
22. In which country is alcohol used as fuel for vehicles?,USA,Brazil,,,B,true_false,2007,261
23. In which organ of the human body are the lymphocyte cells formed?,Liver,Bone marrow,Pancreas,Spleen,B,multiple_choice,2007,262
24. PC was originally a trademark of:,IBM,Apple Computers,Hewlett-Packard,Remington Rand,A,multiple_choice,2007,262
25. What is stored in the gall bladder?,Enzymes,Bile,Urea,Insulin,B,multiple_choice,2007,262
26. Which of the following gases is used in fire extinguishers?,Oxygen,Hydrogen,Water vapour,Carbon dioxide,D,multiple_choice,2007,263
27. Meningitis is caused by:,Fungi,Salmonella,Meningococcus,Virus,C,multiple_choice,2007,263
28. Which of the following is a good conductor of electricity?,PVC,Glass,Rubber,Graphite,D,multiple_choice,2007,264
29. Which of the following is a mammal?,Ostrich,Crocodile,Platypus,Duck,C,multiple_choice,2007,264
30. Leucocytes (white blood cells) are produced in:,Lymph,Spleen,Bone marrow,Ribs,C,multiple_choice,2007,264
"31. When a constant force is applied to a body, it moves with uniform:",Momentum,Velocity,Speed,Acceleration,D,multiple_choice,2007,265
32. The organ which destroys worn-out RBCs in the body of a vertebrate is:,Pancreas,Liver,Bone marrow,Spleen,D,multiple_choice,2007,265
33. Life of RBC in human blood is of:,130 days,160 days,120 days,115 hours,C,multiple_choice,2007,265
34. The reactions taking place at the anode and cathode are respectively:,"Oxidation, reduction","Reduction, oxidation","Reduction, hydrolysis",None of these,A,multiple_choice,2007,266
"35. For sending sound waves at a large distance, which waves are used?",Infrared waves,Radio waves,Light waves,X-waves,B,multiple_choice,2007,266
36. Which mirror can be used to focus sunlight?,Plane mirror,Concave lens,Concave mirror,All of these,C,multiple_choice,2007,266
37. Which cells in our body act as an immune system against diseases?,Platelets,Red blood cells,White blood cells,Haemoglobin,C,multiple_choice,2007,267
38. On which principle does the tape recorder function?,Electromagnetic induction,Electrovalence,Gay-Lussac's law of combining volumes,Boyle’s Law,A,multiple_choice,2007,267
39. A man with blood group A can receive blood from persons having blood groups:,"A, O","A, B, O","A, AB, B","A, B, C",A,multiple_choice,2007,268
40. Sound travels faster in:,Dry air than in water,Wood than in iron,Iron than in air,All of these,C,multiple_choice,2007,268
41. Which was the first truly electronic computer?,ENIAC,UNIVAC,,,A,true_false,2007,268
42. The tendency of a liquid drop to contract and occupy minimum area is due to:,Surface tension,Viscosity,Density,Vapour pressure,A,multiple_choice,2007,269
43. Consumption of fish is considered to be healthy when compared to the flesh of other animals because fish contains:,Polyunsaturated fatty acids,Saturated fatty acids,Essential vitamins,More carbohydrates and proteins,A,multiple_choice,2007,269
44. What is the function of platelets?,Kill the bacteria,Blood clotting,Produce antibodies,None of these,B,multiple_choice,2007,269
45. Who discovered the blood groups of man?,Edward Jenner,Larsen,Karl Landsteiner,None of these,C,multiple_choice,2007,270
46. The lifespan of R.B.C. is:,195 days,115 days,120 days,130 days,C,multiple_choice,2007,270
"47. In human beings, infection of Plasmodium causes:",Tetanus,Malaria,Influenza,Typhoid,B,multiple_choice,2007,271
48. Electromagnetic waves travel with the:,Speed of light,Speed of sound,Speed of Earth's rotation,All of these,A,multiple_choice,2007,271
50. Which of the following is an anti-depressant?,Benzedrine,Aspirin,Equanil,"None of these essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",C,multiple_choice,2007,272
The three elements needed for healthy growth of plants are:,"N, P, K","N, C, P","N, K","N, S, P",A,multiple_choice,2006,274
A device specifically designed to convert sound energy into electrical energy is a(n):,Loudspeaker,Amplifier,Microphone,Electric motor,C,multiple_choice,2006,274
The amount of ozone in the atmosphere is typically measured in:,Decibels,Dobson units,Pascals,Joules,B,multiple_choice,2006,274
"Which desert mammal is famously adapted to survive without drinking water, obtaining it from seed metabolism?",Camel,Fennec Fox,Kangaroo Rat,Meerkat,C,multiple_choice,2006,275
Max Planck was awarded the Nobel Prize in Physics for his groundbreaking discovery of:,The electron,Energy quanta,The proton,Radioactivity,B,multiple_choice,2006,275
The deficiency of Vitamin B1 (Thiamine) in the human diet leads to which disease?,Scurvy,Rickets,Beri-Beri,Pellagra,C,multiple_choice,2006,275
"The scientist credited with the discovery of penicillin, the first widely used antibiotic, is:",Louis Pasteur,Robert Koch,Marie Curie,Alexander Fleming,D,multiple_choice,2006,276
"The three primary macronutrients required for healthy plant growth, often found in fertilizers, are:","Nitrogen, Carbon, Phosphorus (N, C, P)","Nitrogen, Phosphorus, Potassium (N, P, K)","Nitrogen, Calcium, Phosphorus (N, Ca, P)","Nitrogen, Sulphur, Potassium (N, S, K)",B,multiple_choice,2006,276
"Gold and silver are known as ""noble metals"" primarily because they:",Are very dense and heavy,Are excellent conductors of electricity,Resist corrosion and oxidation,Are magnetic,C,multiple_choice,2006,277
10. Development of calf muscles in ladies who wear high heels is a common example of:,Natural Selection,Inheritance of acquired characters,Use and disuse of organs,Artificial selection,C,multiple_choice,2006,277
11. Cinnabar is the main ore from which which metal is extracted?,Lead,Mercury,Zinc,Tin,B,multiple_choice,2006,277
12. A bronze medal is made up of metals:,"Copper, nickel","Copper, tin","Copper, silver","Copper, zinc",B,multiple_choice,2006,278
13. Clocks on fast-moving spacecraft appear to run slow when compared to clocks on Earth. This effect is a prediction of:,Newton's Laws of Motion,The Theory of Special Relativity,The Doppler Effect,The law of universal gravitation,B,multiple_choice,2006,278
14. Sound travels fastest through which medium?,Solids like iron,Liquids like water,Gases like air,It travels at the same speed in all mediums,A,multiple_choice,2006,278
15. Copper can be converted into gold by:,Artificial radioactivity,Heating,Electroplating,Chemical reaction,A,multiple_choice,2006,279
16. Margalla Hills is a branch of:,Karakorum,Hindu Kush,Himalaya,Nanga Parbat,C,multiple_choice,2006,279
17. The production of a group of genetically identical organisms through asexual reproduction is known as:,Hybridization,Fertilization,Cloning,Mutation,C,multiple_choice,2006,280
18. Oil rising up the wick of a lamp is an example of a physical phenomenon called:,Viscosity,Surface Tension,Osmosis,Capillary action,D,multiple_choice,2006,280
19. The scientific study of insects is known as:,Ornithology,Herpetology,Entomology,Botany,C,multiple_choice,2006,280
20. One of the countries through which the Equator passes is:,Kenya,Malaysia,Malta,Pakistan,A,multiple_choice,2006,281
21. The development of larger calf muscles in individuals who frequently wear high heels is an example of the concept of:,Natural selection,Inheritance of acquired characteristics,Artificial selection,Genetic drift,B,multiple_choice,2006,281
22. The equator passes through which of the following countries?,Malaysia,Malta,Kenya,Pakistan,C,multiple_choice,2006,281
23. The genetic instructions for the synthesis of proteins in the body are stored in:,Lipids,Carbohydrates,Nucleic acids (DNA),Vitamins,C,multiple_choice,2006,282
"24. Bronze, an alloy used for medals and statues, is primarily made of:",Copper and nickel,Copper and zinc,Copper and silver,Copper and tin,D,multiple_choice,2006,282
25. What is the most abundant element by mass in the human body?,Carbon,Hydrogen,Oxygen,Nitrogen,C,multiple_choice,2006,283
26. A hummingbird belongs to a category called:,Ectotherm,Endotherm,Exotherm,Heterotherm,B,multiple_choice,2006,283
27. A concave lens is used to correct which of the following vision defects?,Myopia (nearsightedness),Hyperopia (farsightedness),Astigmatism,Presbyopia,A,multiple_choice,2006,283
28. Addison's disease is caused by the insufficient secretion of hormones from the,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,C,multiple_choice,2006,284
"29. Clocks, which move with velocities comparable with the velocity of light, run:",Fast,Slow,Equal to the velocity of light,With zero velocity,B,multiple_choice,2006,284
30. Max Planck received the Nobel Prize in Physics in 1918 for his discovery of:,Electron,Energy quanta,Photon,Positron,B,multiple_choice,2006,284
The scientist who designed the first internal combustion engine to burn low-grade fuel was:,Nikolaus Otto,Rudolf Diesel,Karl Benz,Étienne Lenoir,B,multiple_choice,2005,286
Which of the following elements is not present abundantly in the earth's crust?,Silicon,Radium,Aluminium,Carbon,B,multiple_choice,2005,286
Which statement correctly describes the speed of sound?,Sound travels fastest in a vacuum.,Sound travels faster in water than in steel.,Sound cannot travel through a vacuum.,Sound travels at the same speed through all media.,C,multiple_choice,2005,287
The device used to measure radioactivity is the:,Barometer,Spectrometer,Geiger counter,Ammeter,C,multiple_choice,2005,287
Which woody raw material is used for the manufacture of paper pulp?,Cotton,Poplar,Bagasse,Rice straw,B,multiple_choice,2005,287
The scientist who first asserted that the Earth is a huge magnet was:,Isaac Newton,Michael Faraday,William Gilbert,Galileo Galilei,C,multiple_choice,2005,288
What is the primary role of nucleic acids in the human body?,They are the main components of cell membranes.,They are responsible for storing and transporting energy.,They are primarily used for building muscle tissue.,They carry genetic information for the synthesis of proteins.,D,multiple_choice,2005,288
"What is the most abundant element, by mass, in the human body?",Nitrogen,Oxygen,Carbon,Hydrogen,B,multiple_choice,2005,289
10. Rectified spirit contains alcohol about:,80 Percent,95 Percent,70 Percent,85 Percent,B,multiple_choice,2005,289
11. What is the role of the liver and bile in digestion?,"The liver produces bile, which is involved in the breakdown of proteins.","The gallbladder produces bile, which the liver stores for fat digestion.","The liver produces bile, which is involved in emulsifying fats.",The liver produces hydrochloric acid to break down fats.,C,multiple_choice,2005,289
